"latex","description"
"a^4+a^2b^2+b^4 = (a^2+ab+b^2)(a^2-ab+b^2)","a四加a二b二加b四等於a平加ab加b平,a平減ab減b平"
"a^3+b^3+c^3= (a+b+c)^3+3(a+b+c)(-ab-bc-ca)+3abc","a三加b三加c三等於a加b加c三加三a加b加b,負ab減bc減ca加三abc"
"C=2\pi r","c等於二pir"
"C=\pi d","c等於pid"
"A=\pi r^{2}","A等於pir平方"
"A=4\pi r^{2}","a等於四pir平"
"e^{{i\pi }}+1=0","e的ipi次方加一等於零"
"e^{{i\pi }} = -1","e的ipi等於負一"
"T=2\pi {\sqrt {\frac {L}{g}}}","t等於2pi乘以根號L除以g"
"\Delta H = m \cdot s \cdot \Delta T","DeltaH等於msDeltaT"
"a \cdot b \cdot c = d","abc等於d"
"a \cdot b = c \cdot d","ab等於cd"
"x \cdot y \geq 1","xy大於等於1"
"xy \geq 1","x乘y大於等於1"
"V =\left (\frac{4}{3} \right ) \pi r^3","v等於括號三分之四pir三方"
"1 = \frac{T^{2}}{R^{3}}","一等於r三分之t平方"
"e=\frac{C^{2}}{GMm^{2}}","e等於c平方除以G大m小m平方"
"2a - 5y = c ","2a減5y等於c"
"3x = 12 + 6b + y ","三x等於十二加六b加y"
"a=b+c+d","a等於b加c加d"
"w=\frac{\pi}{2}t    ","w等於二分之pit"
"p^h+q^g=h^u","p的h次方加q的g次方等於h的u次方"
"(a-b-c)^{2}","a減b減c括平"
"(p-h-q)^{2}","p減h減q括號平"
"a^{2}+b^{2}+c^{2}-2ab-2ac+2cb","skip"
"g^{2}+h^{2}+u^{2}-2gh-2gu+2uh","g平h平u平二gh2gu2uh後貳後三用減其他用加"
"a^{2}-b^{2}","a平方減b平方"
"m^{2}-e^{2}","m平減e平"
"(a+b)(a-b)","a加b,a減b"
"(y+l)(y-l)","y加l乘以y減l"
"(a+b)^{3}","a加b的三次方"
"(l+f)^{3}","l加f的三次方"
"a^{3}+3a^{2}b+3ab^{2}+b^{3}","skip"
"x^{3}+3x^{2}f+3xf^{2}+f^{3}","x三方加3x平方f加3xf平方加f3方"
"(a-b)^{3}","a減b的三次方"
"(r-c)^{3}","r減c三次方"
"a^{3}-3a^{2}b+3ab^{2}-b^{3}","a三減三a平方b加三ab平方減b三"
"s^{3}-3s^{2}c+3sc^{2}-c^{3}","s三次減三s平c加三sc平減c三"
"a^{3}+b^{3}","a三加b三"
"g^{3}+g^{3}","g三加g三"
"(a+b)^{3}-3ab(a+b)","a加b括三減三ab括號a加b"
"(w+k)^{3}-3wk(w+k)","w加k三次減三wk括號w加k"
"a^{3}-b^{3}","a三減b三"
"n^{3}-q^{3}","n的三次方減q的三次方"
"(a-b)^{3}+3ab(a-b) ","a減b括三加三ab,a減b括號"
"(u-x)^{3}+3ux(u-x)","u減x三次加三ux括號u減x"
"a^{3}+b^{3}+c^{3}-3abc","a三加b三加c三減三abc"
"f^{3}+n^{3}+f^{3}-3fnf","f的三次方加n的三次方加f的三次方減3fnf"
"a+b+c","a加b加c"
"a^{2}+b^{2}+c^{2}-ab-bc-ca","a平加b平加c平減ab減bc減ca"
"o+z+v","o加z加v"
"o^{2}+z^{2}+v^{2}-oz-zv-vo","o平加z平加v平減oz減zv減vo"
"a^{4}+a^{2}b^{2}+b^{4}","a四次加a平b平加b四次"
"s^{4}+s^{2}r^{2}+r^{4}","s四次加s平r平加r四次"
"(a^{2}+ab+b^{2})(a^{2}-ab+b^{2})","a平方加ab加b平方乘以a平方減ab加b平方"
"(k^{2}+kj+j^{2})(k^{2}-kj+j^{2})","orz"
"a^{2}+b^{2}","a平加b平"
"r^{2}+e^{2}","r平加e平"
"(a+b)^{2}-2ab","a加b平方減2ab"
"a^{2}+b^{2}","a平方"
"r^{2}+p^{2}","r平加p平"
"(a-b)^{2}+2ab","a減b平加二ab"
"(r-v)^{2}+2rv","r減v括號平方加二rv"
"(a+b+c)^{3}","a加b加c完全立方"
"(s+t+m)^{3}","s加t加m的三次方"
"a^{3}+b^{3}+c^{3}+3(a+b)(b+c)(a+c)","a三加b三加c三加三a加bb加ca加c"
"w^{3}+c^{3}+y^{3}+3(w+c)(c+y)(w+y)","w立方加c立方加y立方加3w加c乘以c加y乘以w加y"
"(a+b+c)^2","a加b加c平"
"(s+y+y)^2","s加y加y括平"
"k^{4}+k^{2}k^{2}+k^{4}","k4加k2k2加k4"
"s^{4}+s^{2}r^{2}+r^{4}","s四次方加s平方r平方加r四次方"
"(s^{2}+sr+r^{2})(s^{2}-sr+r^{2})","s平,sr,r平乘以s平減sr加r平"
"(k^{2}+kj+j^{2})(k^{2}-kj+j^{2})","k平加kj加j平,k平減kj加j平"
"y^{2}+c^{2}","y平方+c平方"
"r^{2}+e^{2}","r平加e平"
"(l+s)^{2}-2ls","l加s括平減貳ls"
"(g+g)^{2}-2gg","2gg"
"f^{2}+a^{2}","f平方加a平方"
"r^{2}+p^{2}","r平方加p平方"
"(e-f)^{2}+2ef","e減f括平加二ef"
"(r-v)^{2}+2rv","括號r減v的平方，加2rv"
"(o+e+j)^{3}","o加e加j括號3次"
"(s+t+m)^{3}","stm加起來三次"
"v^{3}+a^{3}+b^{3}+3(v+a)(a+b)(v+b)","v三次加a三次加b三加3v加a,a加b,v加b"
"w^{3}+g^{3}+y^{3}+3(w+g)(g+y)(w+y)","skip"
"(p+o+e)^2","p加o加e平方"
"(s+y+y)^2","s加y加y平方"
"","skip"
"\sin A=\frac{a}{c}","SinA等於c分之a"
"\cos A=\frac{b}{c}","cosA等於c分之b"
"\tan A=\frac{a}{b} ","tana等於b分之a"
"c^2=a^2+b^2-2ab\cos C","c平等於a平加b平減貳abcosc"
"\cos^2 A - \sin^2 A","cosa平減sina平"
"2 \cos^2 A - 1","2cosa減1"
"1 - 2 \sin^2 A","1減2sin平方A"
"\pm\, \sqrt{\frac{1 - \cos A}{2}}","正負根號1減cosA除以2"
"\pm\, \sqrt{\frac{1 + \cos A}{2}}","正負根號一加cosa除以2"
"\sqrt{x^3+1}","根號x三方加一"
"\sqrt{3}{\sqrt{x^4+6}}","根號3乘以根號x的四次方加六"
"\sqrt{x+x^5+3}","根號x加x五加三"
"\sqrt{4}{a^3b^2+a^2}","根號四a三b平加a平"
"\sqrt{3}{x^2y^4z^6}","根號三x平y四次方z六次方"
"\sqrt{a^3+b^3+c^3}","根號a三加b三加c三"
"\sqrt{(a+b+c)^{3}}","根號a加b加c立方"
"\sqrt{3}{\sin(\frac{\pi}{3})}","根號三sin三分之pi"
"\sqrt{ax^{2}+bx+c}","根號ax平方加bx加c"
"\sqrt{3}{z^{2}+q}","根號三,z平方加q"
"\sqrt{5}{x_1+x_2+x_3}","根號五xone加xtwo加x三"
"\sin{x} + y","sinx加y"
"\cos{x} + y","cosx加y"
"\sin{a} + c","sina加c"
"\cos{b} + d","cosb加d"
"\sin^3{x} + cos^2{y}","sin三立x加cos平y"
"x \rightarrow \infty","x趨近無限大"
"x \rightarrow 1","x趨近於1"
"x \rightarrow 0","x趨近於0"
"a \rightarrow 100","a趨近一百"
"b \rightarrow -1","b趨近負一"
"c \rightarrow -\infty","光速趨近於負無限"
"y \rightarrow 23","y趨近於二十三"
"a \rightarrow \infty","a箭頭無限"
"c \rightarrow -7","c趨近於負七"
"z \rightarrow -\infty","z趨近於負無限大"
"orz","orz"
"\forall n = 0","任何n等於0"
"\forall n > 0","所有n大於0"
"\forall n \leq 1","所有n小於等於1"
"\forall x = 1","所有x等於1"
"\forall xy \geq 0","對於每一組xy都會大於0"
"6 \div 2 = 3","6除以2等於3"
"120 \div 5 = 24","120除以5等於24"
"33 \div 11 = 3","33除以11等於3"
"41 \div 18467 = 6334","41除以18467等於6334"
"26500 \div 19169 = 15724","26500除以19169等於15724"
"11478 \div 29358 = 26962","11478除以29358等於26962"
"24464 \div 5705 = 28145","24464除以5705等於28145"
"23281 \div 16827 = 9961","23281除以16827等於9961"
"491 \div 2995 = 11942","491除以2995等於11942"
"4827 \div 5436 = 32391","4827除以5436等於32391"
"14604 \div 3902 = 153","14605除以3902等於153"
"292 \div 12382 = 17421","292除以12382等於17421"
"18716 \div 19718 = 19895","18716除以19718等於19895"
"5447 \div 21726 = 14771","5447除以21726等於14771"
"11538 \div 1869 = 19912","11538除以1869等於11912"
"25667 \div 26299 = 17035","25667除以26299等於17035"
"9894 \div 28703 = 23811","9894除以28703等於23811"
"31322 \div 30333 = 17673","31322除以30333等於17673"
"4664 \div 15141 = 7711","4664除以15141等於7711"
"p \div h = q","p除以h等於q"
"g \div h = u","g除以h等於u"
"m \div e = a","m/e=a"
"y \div l = n","y除以l等於n"
"N \div q = D","N除以q等於D"
"U \div x = W","U除以x等於W"
"F \div n = F","F除以n等於F"
"O \div z = V","O除以z等於V"
"S \div r = T",":skip"
"w \div k = F","w除以k等於F"
"n \div q = D","n除以q等於D"
"u \div x = W","u除以x等於W"
"f \div n = F","f除以n等於F"
"30+6+11=36+11","30加6加11等於36加11"
"(5-5)\div 5=0","（5減5）除以5等於0"
"6\times 6+25\div 5=36+5","6乘6加25除以5等於36加5"
"30\div 5\times 2= 12","30除以5乘2等於12"
"1+1=2","1加1等於2"
"2+3=5","2加3等於5"
"5+4+2=11","5加4加2等於11"
"3+3+3+3=12","3加3加3加3等於12"
"3{1 \over 2}=3+{1 \over 2}","3又二分之一等於3加二分之一"
"\sum _{k=1}^{5}k^{2}","k平方從1加到5"
"x=a\times 10^{n}","x等於a乘以10的n次方"
"2.34\times 10^{-5}","2.34乘10的負5次方"
"5.67	imes 10^{-6}","skip"
"\frac {a}{b}+\frac {c}{d}","b分之a加d分之c"
"ad+bc \over bd","ad加bc，整個除以bd"
"{a+b \over c}={\frac {a}{c}}+{\frac {b}{c}}","a加b整個除以c等於a除以c再加上b除以c"
"{{5}-{3}}=2","5減3等於2"
"6-3=3","六減三等於三"
"{a+a+a+\cdots +a}_{n}=a\times n","skip"
"5\times 2","5乘以2"
"5\cdot 2","5乘以2"
"mn=\sum _{k=1}^{n}m","mn等於m加k次"
"{20}\div {4}=5","20除以4等於5"
"{20}\div {5}=4","20除以5等於4"
"{6}\div {3}=2","6除以3=2"
"a\times b=c","a乘b等於c"
"a=c\div b","a等於c除以b"
"a \times b","a乘b"
"c\div b=a\dots d","c除以b等於a餘d"
"c=a\times b+d","c等於a乘以b加d"
"c=a\times(b+d)","c等於a乘以b加d"
"b\mid a","b整除a"
"5\mid 15","5整除15"
"6\nmid 20","6不整除20"
"1260257\div {37}=34061","1260257除以37等於34061"
"X^{3}-12X^{2}-42","X三次方減12X平方減42"
"X^{2}-9X-27 = -123","X平方減9X減27等於-123"
"i={sqrt {-1}}","skip"
"i^2 = -1","i平方等於負一"
"a{\frac {b}{c}}","a又c分之b"
"\frac {3}{6}= \frac {1}{2}","六分之三等於二分之一"
"\frac {1}{2}= \frac {2}{4}","二分之一等於四分之二"
"\frac {a}{b} = a:b","a除以b等於a比b"
"\frac {a}{b}\equiv a\div b","b分之a等於a除以b"
"b\in \mathbb {Z}","b屬於Z"
"K\in \mathbb {A}","k屬於A"
"x\in \mathbb {S}","x屬於S"
"a \not = b","a不等於b"
"a+b \not = b+c","a加b不等於b加c"
"x^2 + 3x + 2 \not = 0","x平方加3x加2不等於0"
"x^3y + y^2 \not = -1","x的三次y加上y平方不等於負1"
"a^3 + bc \not = d^2","a的三次方加bc不等於d平方"
"a^3 + 1 \not = 0","a的三次方加1不等於0"
"h^k + t \not = r","kill"
"r + s + t + w \not = a^b","r加s加t加w不等於a的b次方"
"a^b \not = \frac{a}{a+b}","a的b次方等於a加b分之a"
"\frac{1}{x} \not = \frac{1}{x^2}",":skip"
"a\times b \not = c","a乘b不等於c"
"a \not = c\div b","a不等於c除以b"
"ad \le bc","ad小於等於bc"
"ad \ge bc","ab大於等於bc"
"x<y","x小於y"
"x\leq y","x小於等於y"
"y\nleq x = y > x","y不小於等於x等於y大於x"
